filename,dataset,reason
LPD (96).jpg,Mendeley,no DPI metadata
LPD (97).jpg,Mendeley,no DPI metadata
LPD (98).jpg,Mendeley,no DPI metadata
LPD (99).jpg,Mendeley,no DPI metadata
PD (1).jpg,Mendeley,no DPI metadata
PD (10).jpg,Mendeley,no DPI metadata
PD (100).jpg,Mendeley,no DPI metadata
PD (101).jpg,Mendeley,no DPI metadata
PD (102).jpg,Mendeley,no DPI metadata
PD (103).jpg,Mendeley,no DPI metadata
PD (104).jpg,Mendeley,no DPI metadata
PD (105).jpg,Mendeley,no DPI metadata
PD (106).jpg,Mendeley,no DPI metadata
PD (107).jpg,Mendeley,no DPI metadata
PD (108).jpg,Mendeley,no DPI metadata
PD (109).jpg,Mendeley,no DPI metadata
PD (11).jpg,Mendeley,no DPI metadata
PD (110).jpg,Mendeley,no DPI metadata
PD (111).jpg,Mendeley,no DPI metadata
PD (112).jpg,Mendeley,no DPI metadata
PD (113).jpg,Mendeley,no DPI metadata
PD (114).jpg,Mendeley,no DPI metadata
PD (12).jpg,Mendeley,no DPI metadata
PD (13).jpg,Mendeley,no DPI metadata
PD (14).jpg,Mendeley,no DPI metadata
PD (15).jpg,Mendeley,no DPI metadata
PD (16).jpg,Mendeley,no DPI metadata
PD (17).jpg,Mendeley,no DPI metadata
PD (18).jpg,Mendeley,no DPI metadata
PD (19).jpg,Mendeley,no DPI metadata
PD (2).jpg,Mendeley,no DPI metadata
PD (20).jpg,Mendeley,no DPI metadata
PD (21).jpg,Mendeley,no DPI metadata
PD (22).jpg,Mendeley,no DPI metadata
PD (23).jpg,Mendeley,no DPI metadata
PD (24).jpg,Mendeley,no DPI metadata
PD (25).jpg,Mendeley,no DPI metadata
PD (26).jpg,Mendeley,no DPI metadata
PD (27).jpg,Mendeley,no DPI metadata
PD (28).jpg,Mendeley,no DPI metadata
PD (29).jpg,Mendeley,no DPI metadata
PD (3).jpg,Mendeley,no DPI metadata
PD (30).jpg,Mendeley,no DPI metadata
PD (31).jpg,Mendeley,no DPI metadata
PD (32).jpg,Mendeley,no DPI metadata
PD (33).jpg,Mendeley,no DPI metadata
PD (34).jpg,Mendeley,no DPI metadata
PD (35).jpg,Mendeley,no DPI metadata
PD (36).jpg,Mendeley,no DPI metadata
PD (37).jpg,Mendeley,no DPI metadata
PD (38).jpg,Mendeley,no DPI metadata
PD (39).jpg,Mendeley,no DPI metadata
PD (4).jpg,Mendeley,no DPI metadata
PD (40).jpg,Mendeley,no DPI metadata
PD (41).jpg,Mendeley,no DPI metadata
PD (42).jpg,Mendeley,no DPI metadata
PD (43).jpg,Mendeley,no DPI metadata
PD (44).jpg,Mendeley,no DPI metadata
PD (45).jpg,Mendeley,no DPI metadata
PD (46).jpg,Mendeley,no DPI metadata
PD (47).jpg,Mendeley,no DPI metadata
PD (48).jpg,Mendeley,no DPI metadata
PD (49).jpg,Mendeley,no DPI metadata
PD (5).jpg,Mendeley,no DPI metadata
PD (50).jpg,Mendeley,no DPI metadata
PD (51).jpg,Mendeley,no DPI metadata
PD (52).jpg,Mendeley,no DPI metadata
PD (53).jpg,Mendeley,no DPI metadata
PD (54).jpg,Mendeley,no DPI metadata
PD (55).jpg,Mendeley,no DPI metadata
PD (56).jpg,Mendeley,no DPI metadata
PD (57).jpg,Mendeley,no DPI metadata
PD (58).jpg,Mendeley,no DPI metadata
PD (59).jpg,Mendeley,no DPI metadata
PD (6).jpg,Mendeley,no DPI metadata
PD (60).jpg,Mendeley,no DPI metadata
PD (61).jpg,Mendeley,no DPI metadata
PD (62).jpg,Mendeley,no DPI metadata
PD (63).jpg,Mendeley,no DPI metadata
PD (64).jpg,Mendeley,no DPI metadata
PD (65).jpg,Mendeley,no DPI metadata
PD (66).jpg,Mendeley,no DPI metadata
PD (67).jpg,Mendeley,no DPI metadata
PD (68).jpg,Mendeley,no DPI metadata
PD (69).jpg,Mendeley,no DPI metadata
PD (7).jpg,Mendeley,no DPI metadata
PD (70).jpg,Mendeley,no DPI metadata
PD (71).jpg,Mendeley,no DPI metadata
PD (72).jpg,Mendeley,no DPI metadata
PD (73).jpg,Mendeley,no DPI metadata
PD (74).jpg,Mendeley,no DPI metadata
PD (75).jpg,Mendeley,no DPI metadata
PD (76).jpg,Mendeley,no DPI metadata
PD (77).jpg,Mendeley,no DPI metadata
PD (78).jpg,Mendeley,no DPI metadata
PD (79).jpg,Mendeley,no DPI metadata
PD (8).jpg,Mendeley,no DPI metadata
PD (80).jpg,Mendeley,no DPI metadata
PD (81).jpg,Mendeley,no DPI metadata
PD (82).jpg,Mendeley,no DPI metadata
PD (83).jpg,Mendeley,no DPI metadata
PD (84).jpg,Mendeley,no DPI metadata
PD (85).jpg,Mendeley,no DPI metadata
PD (86).jpg,Mendeley,no DPI metadata
PD (87).jpg,Mendeley,no DPI metadata
PD (88).jpg,Mendeley,no DPI metadata
PD (89).jpg,Mendeley,no DPI metadata
PD (9).jpg,Mendeley,no DPI metadata
PD (90).jpg,Mendeley,no DPI metadata
PD (91).jpg,Mendeley,no DPI metadata
PD (92).jpg,Mendeley,no DPI metadata
PD (93).jpg,Mendeley,no DPI metadata
PD (94).jpg,Mendeley,no DPI metadata
PD (95).jpg,Mendeley,no DPI metadata
PD (96).jpg,Mendeley,no DPI metadata
PD (97).jpg,Mendeley,no DPI metadata
PD (98).jpg,Mendeley,no DPI metadata
PD (99).jpg,Mendeley,no DPI metadata
LPD (69).jpg,Mendeley,possibly shadowed or too dark
LPD (107).jpg,Mendeley,possibly shadowed or too dark
LPD (41).jpg,Mendeley,possibly shadowed or too dark
LPD (44).jpg,Mendeley,possibly shadowed or too dark
LPD (22).jpg,Mendeley,possibly shadowed or too dark
LPD (104).jpg,Mendeley,possibly shadowed or too dark
LPD (106).jpg,Mendeley,possibly shadowed or too dark
LPD (72).jpg,Mendeley,possibly shadowed or too dark
corrected_001.jpg,Kaggle,low DPI: 72
corrected_002.jpg,Kaggle,low DPI: 72
corrected_003.jpg,Kaggle,low DPI: 72
corrected_004.jpg,Kaggle,low DPI: 72
corrected_005.jpg,Kaggle,low DPI: 72
corrected_006.jpg,Kaggle,low DPI: 72
corrected_007.jpg,Kaggle,low DPI: 72
corrected_008.jpg,Kaggle,low DPI: 72
corrected_009.jpg,Kaggle,low DPI: 72
corrected_010.jpg,Kaggle,low DPI: 72
corrected_011.jpg,Kaggle,low DPI: 72
corrected_012.jpg,Kaggle,low DPI: 72
corrected_013.jpg,Kaggle,low DPI: 72
corrected_014.jpg,Kaggle,low DPI: 72
corrected_015.jpg,Kaggle,low DPI: 72
corrected_016.jpg,Kaggle,low DPI: 72
corrected_017.jpg,Kaggle,low DPI: 72
corrected_018.jpg,Kaggle,low DPI: 72
corrected_019.jpg,Kaggle,low DPI: 72
corrected_020.jpg,Kaggle,low DPI: 72
corrected_021.jpg,Kaggle,low DPI: 72
corrected_022.jpg,Kaggle,low DPI: 72
corrected_023.jpg,Kaggle,low DPI: 72
corrected_024.jpg,Kaggle,low DPI: 72
corrected_025.jpg,Kaggle,low DPI: 72
corrected_026.jpg,Kaggle,low DPI: 72
corrected_027.jpg,Kaggle,low DPI: 72
corrected_028.jpg,Kaggle,low DPI: 72
corrected_029.jpg,Kaggle,low DPI: 72
corrected_030.jpg,Kaggle,low DPI: 72
corrected_031.jpg,Kaggle,low DPI: 72
corrected_032.jpg,Kaggle,low DPI: 72
corrected_033.jpg,Kaggle,low DPI: 72
corrected_034.jpg,Kaggle,low DPI: 72
corrected_035.jpg,Kaggle,low DPI: 72
corrected_036.jpg,Kaggle,low DPI: 72
corrected_037.jpg,Kaggle,low DPI: 72
corrected_038.jpg,Kaggle,low DPI: 72
corrected_039.jpg,Kaggle,low DPI: 72
corrected_040.jpg,Kaggle,low DPI: 72
corrected_041.jpg,Kaggle,low DPI: 72
corrected_042.jpg,Kaggle,low DPI: 72
corrected_043.jpg,Kaggle,low DPI: 72
corrected_044.jpg,Kaggle,low DPI: 72
corrected_045.jpg,Kaggle,low DPI: 72
corrected_046.jpg,Kaggle,low DPI: 72
corrected_047.jpg,Kaggle,low DPI: 72
corrected_048.jpg,Kaggle,low DPI: 72
corrected_049.jpg,Kaggle,low DPI: 72
corrected_050.jpg,Kaggle,low DPI: 72
corrected_051.jpg,Kaggle,low DPI: 72
corrected_052.jpg,Kaggle,low DPI: 72
corrected_053.jpg,Kaggle,low DPI: 72
corrected_054.jpg,Kaggle,low DPI: 72
corrected_055.jpg,Kaggle,low DPI: 72
corrected_056.jpg,Kaggle,low DPI: 72
corrected_057.jpg,Kaggle,low DPI: 72
corrected_058.jpg,Kaggle,low DPI: 72
corrected_059.jpg,Kaggle,low DPI: 72
corrected_060.jpg,Kaggle,low DPI: 72
